# dx dy dz
-0.36014 -0.145293 -0.921515
-0.0910172 -0.741372 -0.664893
0.0329976 -0.955303 -0.293781
-0.359472 -0.0666228 -0.930775
0.455548 -0.150195 -0.877449
0.447572 0.377327 -0.810743
0.727413 0.35018 -0.590123
-0.659657 0.648489 -0.379889
-0.691926 -0.437433 -0.574362
0.126078 -0.983094 -0.13278
0.147196 0.253088 -0.95618
-0.222611 0.81931 -0.528371
-0.139555 -0.611688 -0.778692
0.449561 0.414527 -0.791241
0.979633 -0.187159 -0.0727316
0.221484 0.908616 -0.354065
-0.0152456 0.128133 -0.99164
-0.197675 0.605286 -0.771073
-0.0975375 -0.707342 -0.70011
0.320292 -0.509871 -0.798401
0.568972 0.337209 -0.750041
-0.0151399 -0.670592 -0.741672
0.346445 0.907877 -0.236083
0.563704 -0.452904 -0.690736
0.255413 -0.347165 -0.902353
0.943909 0.213997 -0.251479
0.209445 0.347129 -0.91413
-0.358886 -0.290649 -0.886975
0.3765 0.846348 -0.376752
-0.0112945 0.541593 -0.840565
-0.168301 0.602364 -0.780277
0.374407 0.52557 -0.763934
0.740079 0.279822 -0.611541
0.510459 -0.187938 -0.839113
-0.311567 -0.86192 -0.400025
-0.381149 0.472575 -0.794606
0.255793 -0.257399 -0.931835
0.859688 0.251462 -0.444638
-0.0319122 0.562335 -0.826293
-0.233824 -0.702764 -0.671899
0.519289 0.0382797 -0.853741
0.39511 -0.318747 -0.861562
-0.395511 -0.87689 -0.273194
-0.669123 -0.186254 -0.719433
-0.717822 -0.209774 -0.663872
0.923823 -0.0781372 -0.374761
0.09249 0.462491 -0.881787
0.797767 0.402652 -0.44882
0.616916 0.440134 -0.652454
0.577578 0.305391 -0.75706
-0.342539 -0.690474 -0.637113
0.622253 -0.43615 -0.650058
0.772866 0.326727 -0.543992
-0.395147 -0.337306 -0.854449
0.420715 0.492426 -0.761916
-0.264678 0.110128 -0.958028
-0.772845 -0.127962 -0.62156
-0.970453 0.164237 -0.17677
-0.00966775 -0.42081 -0.907097
-0.569505 -0.716071 -0.403617
-0.0809947 -0.673295 -0.734924
-0.163867 0.798838 -0.578796
-0.524694 -0.675719 -0.517784
-0.103122 -0.228813 -0.967993
0.628206 -0.0661358 -0.775231
0.218365 0.536265 -0.815314
0.808468 -0.167953 -0.564066
0.0500759 -0.35395 -0.933923
0.25614 -0.0441924 -0.965629
0.463889 -0.237052 -0.853588
-0.125807 -0.509535 -0.851203
-0.931423 -0.111961 -0.34629
0.121027 -0.029236 -0.992219
-0.941911 0.147 -0.301983
0.259562 -0.770672 -0.581972
0.298901 -0.307603 -0.903348
-0.649918 -0.281493 -0.705952
0.837764 0.436052 -0.328648
-0.722522 0.300785 -0.622487
0.151798 0.922649 -0.35451
-0.37387 -0.738396 -0.561242
0.801948 0.319772 -0.504604
0.41187 -0.762136 -0.499511
0.756848 0.367018 -0.540813
0.357467 0.14417 -0.922731
-0.0639149 -0.31949 -0.945432
-0.242816 -0.0280914 -0.969666
0.164316 -0.808018 -0.56578
-0.0903424 -0.144448 -0.98538
-0.455763 -0.714951 -0.530212
0.265563 0.107828 -0.958045
0.276884 0.530506 -0.801186
-0.104866 -0.41499 -0.903762
0.155927 0.355692 -0.921504
0.586008 -0.57428 -0.571662
0.0724549 -0.653211 -0.753701
0.916087 -0.274335 -0.292446
-0.0480102 0.325516 -0.944317
-0.578084 -0.0852784 -0.811509
0.797346 -0.567823 -0.204491
0.0777963 -0.848527 -0.523402
0.39629 -0.405275 -0.823836
0.256073 0.503523 -0.825161
0.742226 0.630136 -0.228101
0.653488 0.673631 -0.345216
-0.0899106 -0.4567 -0.885066
0.475156 0.359318 -0.803192
-0.190143 0.108032 -0.975794
-0.796448 -0.127697 -0.59107
0.396215 -0.295039 -0.869463
-0.0625038 -0.296371 -0.953025
0.342692 0.354996 -0.869793
-0.694618 -0.298025 -0.654743
-0.637807 0.313375 -0.703561
-0.54513 -0.11036 -0.831056
0.031912 -0.532902 -0.845575
-0.635947 0.622778 -0.455762
-0.0772035 0.93794 -0.338095
0.0816153 -0.0805787 -0.993401
-0.886728 0.0485525 -0.459734
-0.910721 0.295762 -0.288292
-0.218398 -0.243943 -0.944878
-0.926378 -0.22094 -0.304973
0.578726 0.198338 -0.791036
-0.738931 0.00690702 -0.673745
0.130582 0.161423 -0.978208
-0.434034 -0.248009 -0.866087
-0.176563 0.0675983 -0.981965
0.132799 -0.593444 -0.793844
0.152207 0.759021 -0.633025
0.283204 -0.300335 -0.910821
0.331558 -0.466437 -0.820064
-0.91475 -0.160242 -0.370883
-0.932583 -0.00650873 -0.360898
-0.0590635 -0.369774 -0.927243
-0.655269 -0.358336 -0.664995
0.0353613 -0.191793 -0.980798
-0.318367 0.874459 -0.366011
-0.486069 0.00579141 -0.873901
0.358383 -0.532402 -0.766883
-0.790784 0.563511 -0.238989
-0.188081 0.798905 -0.571293
-0.531288 0.265493 -0.804517
0.87258 0.338228 -0.352428
-0.339284 -0.565546 -0.751694
-0.055709 -0.904803 -0.42217
-0.479893 -0.0452264 -0.87616
-0.380953 0.276151 -0.882392
-0.0222447 -0.131864 -0.991018
-0.348955 0.0312889 -0.936617
-0.448829 -0.580652 -0.679261
-0.242055 -0.627738 -0.739834
0.859856 -0.441097 -0.257061
0.0193547 -0.62088 -0.783667
-0.230311 0.328267 -0.916077
-0.511542 0.290538 -0.808648
-0.148467 0.892515 -0.425882
0.633234 0.37505 -0.677017
-0.213457 -0.377797 -0.900947
0.767113 0.237088 -0.596093
-0.587953 -0.476604 -0.653575
0.329646 -0.886815 -0.32387
-0.131111 0.599147 -0.789831
-0.515429 0.312847 -0.797784
-0.432684 -0.546793 -0.7168
0.348315 -0.199488 -0.915905
0.0748007 -0.588261 -0.805204
0.691027 -0.514804 -0.507404
-0.147716 -0.389473 -0.909115
0.644499 0.187048 -0.741373
-0.371702 0.808604 -0.456066
-0.0604223 0.45899 -0.886384
0.270483 -0.105396 -0.956938
-0.27272 -0.284936 -0.918932
-0.530475 -0.140015 -0.836058
0.245958 -0.697269 -0.673291
-0.500055 0.0574355 -0.864087
0.619044 0.444227 -0.647647
0.573705 0.486914 -0.658618
-0.36847 -0.0534449 -0.928102
0.530718 0.0602769 -0.845402
0.907972 0.294464 -0.298124
-0.666955 -0.631832 -0.394916
0.829601 0.199316 -0.52157
-0.487213 0.40658 -0.772863
0.19697 0.445206 -0.873496
-0.013301 0.994504 -0.103848
-0.102776 0.870676 -0.481
-0.487649 0.386023 -0.783061
-0.0880297 -0.828266 -0.553377
0.0773626 0.676878 -0.732018
0.161359 -0.618204 -0.769277
-0.412839 0.0533867 -0.909238
0.00151088 0.168337 -0.985728
-0.451932 -0.664038 -0.59566
-0.343714 -0.321659 -0.882267
-0.102003 0.500481 -0.859718
0.992757 -0.00447101 -0.12006
-0.251128 0.750676 -0.611081
0.089112 -0.579054 -0.810404
0.737199 0.000402174 -0.675676
0.211836 -0.93568 -0.282184
-0.59289 -0.401167 -0.698245
-0.00101541 0.962087 -0.27274
-0.407421 -0.570609 -0.713031
0.82891 0.145691 -0.540077
-0.501904 0.544846 -0.67174
-0.84144 -0.376375 -0.387713
0.519247 -0.36745 -0.771598
0.501856 0.7634 -0.406646
0.0720607 -0.377636 -0.923146
0.204414 0.102232 -0.973531
0.510336 0.020552 -0.859729
0.291942 -0.101405 -0.951045
-0.491277 0.741059 -0.457687
-0.00627697 0.538883 -0.842357
0.7303 0.489508 -0.476492
0.331294 0.886904 -0.32194
0.690385 -0.0563343 -0.721245
0.853103 -0.12006 -0.507742
0.545823 -0.318787 -0.774888
-0.117039 0.32365 -0.93891
0.485767 -0.743739 -0.45922
0.298965 -0.487644 -0.820258
0.078821 -0.958705 -0.273262
-0.570753 -0.295584 -0.766075
-0.204157 -0.730385 -0.651811
0.358125 0.105506 -0.927694
0.264521 0.618048 -0.740301
0.271617 0.465981 -0.842073
-0.533139 -0.421581 -0.733506
-0.523344 0.240871 -0.817369
-0.270286 0.15411 -0.950366
0.482425 0.601488 -0.636771
0.870206 0.159602 -0.46612
0.027361 -0.416883 -0.908548
0.321982 0.220954 -0.920601
0.43813 -0.596553 -0.672433
-0.77764 -0.357978 -0.516844
0.346619 -0.410688 -0.843321
0.733072 0.620007 -0.279637
-0.158328 0.343583 -0.92568
0.0952601 -0.971889 -0.215308
0.391133 0.282344 -0.875955
0.585967 0.0249134 -0.809952
0.720696 -0.285691 -0.631647
-0.678732 -0.637215 -0.365075
-0.308111 -0.880341 -0.360649
-0.493603 -0.650401 -0.577352
0.110275 0.673667 -0.730762
0.504592 -0.588341 -0.631856
-0.727101 -0.490087 -0.480769
-0.594876 0.0475926 -0.802407
0.793296 -0.405823 -0.453861
-0.797542 -0.56255 -0.217861
0.730627 -0.424898 -0.534458
0.114794 0.555252 -0.823722
-0.321716 -0.373206 -0.870182
-0.761108 -0.163688 -0.627631
0.272191 -0.778322 -0.565798
0.123202 -0.214885 -0.968837
0.383594 -0.268972 -0.883465
-0.394421 0.161661 -0.904598
0.242751 -0.518593 -0.819837
0.0866493 0.147218 -0.985301
0.621843 -0.257682 -0.739534
-0.519913 -0.689121 -0.504779
0.168112 0.370559 -0.913468
-0.922316 -0.0303741 -0.385242
0.510276 0.531116 -0.676413
0.148489 0.426862 -0.892042
0.0378894 0.321772 -0.946059
-0.525508 0.615599 -0.587264
0.517315 0.562024 -0.64538
-0.0403312 0.0302461 -0.998728
0.385017 -0.096172 -0.917885
-0.747617 -0.0978497 -0.656882
-0.621024 -0.0104982 -0.783722
0.868877 0.0171873 -0.49473
0.0463185 0.824098 -0.56455
0.865387 0.157773 -0.475618
0.693574 -0.505199 -0.513545
0.5198 0.712816 -0.470852
0.208426 0.698615 -0.684467
0.0527835 0.599926 -0.798312
0.1786 -0.838193 -0.5153
0.438773 0.53054 -0.725262
-0.730066 -0.324896 -0.601204
0.53719 0.814788 -0.218052
-0.0867286 0.461486 -0.882898
-0.41862 0.641639 -0.642696
0.248629 0.198422 -0.948057
-0.223676 -0.24648 -0.942983
-0.732338 -0.180127 -0.656685
0.801357 0.352618 -0.483205
-0.450999 0.492612 -0.744267
-0.407438 -0.338146 -0.848323
-0.547159 -0.109979 -0.829772
-0.0528094 0.339707 -0.939048
-0.481855 -0.382897 -0.788166
-0.0657448 0.900787 -0.429255
-0.749478 0.408825 -0.520716
0.837781 -0.260205 -0.480017
-0.71332 0.316617 -0.625242
0.14742 -0.689085 -0.709527
-0.639697 -0.470644 -0.607687
-0.121981 0.613124 -0.780512
0.133791 0.351871 -0.926438
0.493391 0.584823 -0.643854
0.487617 -0.241537 -0.838981
-0.508529 0.0731132 -0.857935
0.628969 0.451673 -0.632763
0.273789 -0.776072 -0.568113
0.767239 0.0960026 -0.634136
0.382536 0.389691 -0.837739
0.700852 -0.160568 -0.694999
0.497367 -0.425072 -0.756267
-0.0738191 -0.401782 -0.912755
