# bin_center content
-0.99 4108
-0.97 4045
-0.95 3876
-0.93 3773
-0.91 3667
-0.89 3610
-0.87 3476
-0.85 3507
-0.83 3408
-0.81 3348
-0.79 3240
-0.77 3107
-0.75 2935
-0.73 2869
-0.71 2875
-0.69 2766
-0.67 2687
-0.65 2500
-0.63 2613
-0.61 2468
-0.59 2286
-0.57 2203
-0.55 2221
-0.53 2049
-0.51 2016
-0.49 1944
-0.47 1873
-0.45 1767
-0.43 1697
-0.41 1537
-0.39 1535
-0.37 1459
-0.35 1423
-0.33 1442
-0.31 1267
-0.29 1192
-0.27 1137
-0.25 1020
-0.23 881
-0.21 784
-0.19 712
-0.17 618
-0.15 540
-0.13 464
-0.11 353
-0.09 291
-0.07 201
-0.05 139
-0.03 60
-0.01 11
0.01 0
0.03 0
0.05 0
0.07 0
0.09 0
0.11 0
0.13 0
0.15 0
0.17 0
0.19 0
0.21 0
0.23 0
0.25 0
0.27 0
0.29 0
0.31 0
0.33 0
0.35 0
0.37 0
0.39 0
0.41 0
0.43 0
0.45 0
0.47 0
0.49 0
0.51 0
0.53 0
0.55 0
0.57 0
0.59 0
0.61 0
0.63 0
0.65 0
0.67 0
0.69 0
0.71 0
0.73 0
0.75 0
0.77 0
0.79 0
0.81 0
0.83 0
0.85 0
0.87 0
0.89 0
0.91 0
0.93 0
0.95 0
0.97 0
0.99 0
