theta,phi,fraction
1.000000,9.000000,0.002470
1.000000,27.000000,0.002440
1.000000,45.000000,0.002570
1.000000,63.000000,0.002460
1.000000,81.000000,0.002520
1.000000,99.000000,0.002270
1.000000,117.000000,0.002630
1.000000,135.000000,0.002460
1.000000,153.000000,0.002500
1.000000,171.000000,0.002450
1.000000,189.000000,0.002340
1.000000,207.000000,0.002610
1.000000,225.000000,0.002450
1.000000,243.000000,0.002180
1.000000,261.000000,0.002360
1.000000,279.000000,0.002350
1.000000,297.000000,0.002440
1.000000,315.000000,0.002680
1.000000,333.000000,0.002680
1.000000,351.000000,0.002670
3.000000,9.000000,0.002330
3.000000,27.000000,0.002360
3.000000,45.000000,0.002380
3.000000,63.000000,0.002420
3.000000,81.000000,0.002590
3.000000,99.000000,0.002260
3.000000,117.000000,0.002510
3.000000,135.000000,0.002300
3.000000,153.000000,0.002240
3.000000,171.000000,0.002500
3.000000,189.000000,0.002440
3.000000,207.000000,0.002250
3.000000,225.000000,0.002490
3.000000,243.000000,0.002350
3.000000,261.000000,0.002500
3.000000,279.000000,0.002690
3.000000,297.000000,0.002270
3.000000,315.000000,0.002490
3.000000,333.000000,0.002240
3.000000,351.000000,0.002280
5.000000,9.000000,0.002560
5.000000,27.000000,0.002380
5.000000,45.000000,0.002240
5.000000,63.000000,0.002510
5.000000,81.000000,0.001910
5.000000,99.000000,0.002540
5.000000,117.000000,0.002260
5.000000,135.000000,0.002220
5.000000,153.000000,0.002330
5.000000,171.000000,0.002450
5.000000,189.000000,0.002360
5.000000,207.000000,0.002330
5.000000,225.000000,0.002190
5.000000,243.000000,0.002310
5.000000,261.000000,0.002190
5.000000,279.000000,0.002280
5.000000,297.000000,0.002040
5.000000,315.000000,0.002260
5.000000,333.000000,0.002390
5.000000,351.000000,0.002500
7.000000,9.000000,0.002340
7.000000,27.000000,0.002510
7.000000,45.000000,0.002700
7.000000,63.000000,0.002310
7.000000,81.000000,0.002140
7.000000,99.000000,0.002370
7.000000,117.000000,0.002210
7.000000,135.000000,0.002000
7.000000,153.000000,0.002490
7.000000,171.000000,0.002340
7.000000,189.000000,0.002340
7.000000,207.000000,0.002040
7.000000,225.000000,0.002170
7.000000,243.000000,0.002330
7.000000,261.000000,0.002260
7.000000,279.000000,0.002700
7.000000,297.000000,0.002560
7.000000,315.000000,0.002350
7.000000,333.000000,0.002340
7.000000,351.000000,0.002520
9.000000,9.000000,0.002410
9.000000,27.000000,0.002470
9.000000,45.000000,0.002270
9.000000,63.000000,0.002350
9.000000,81.000000,0.002340
9.000000,99.000000,0.002350
9.000000,117.000000,0.002360
9.000000,135.000000,0.002130
9.000000,153.000000,0.002490
9.000000,171.000000,0.002450
9.000000,189.000000,0.002350
9.000000,207.000000,0.002280
9.000000,225.000000,0.002280
9.000000,243.000000,0.002450
9.000000,261.000000,0.002410
9.000000,279.000000,0.002310
9.000000,297.000000,0.002540
9.000000,315.000000,0.002410
9.000000,333.000000,0.002650
9.000000,351.000000,0.002370
11.000000,9.000000,0.002310
11.000000,27.000000,0.002420
11.000000,45.000000,0.001970
11.000000,63.000000,0.002340
11.000000,81.000000,0.002240
11.000000,99.000000,0.002350
11.000000,117.000000,0.002090
11.000000,135.000000,0.002110
11.000000,153.000000,0.002230
11.000000,171.000000,0.002350
11.000000,189.000000,0.002580
11.000000,207.000000,0.002240
11.000000,225.000000,0.002270
11.000000,243.000000,0.002250
11.000000,261.000000,0.002500
11.000000,279.000000,0.002590
11.000000,297.000000,0.002460
11.000000,315.000000,0.002700
11.000000,333.000000,0.002230
11.000000,351.000000,0.002200
13.000000,9.000000,0.002500
13.000000,27.000000,0.002390
13.000000,45.000000,0.002470
13.000000,63.000000,0.002400
13.000000,81.000000,0.002240
13.000000,99.000000,0.002270
13.000000,117.000000,0.002140
13.000000,135.000000,0.002230
13.000000,153.000000,0.002250
13.000000,171.000000,0.002200
13.000000,189.000000,0.002120
13.000000,207.000000,0.002370
13.000000,225.000000,0.002190
13.000000,243.000000,0.002050
13.000000,261.000000,0.002130
13.000000,279.000000,0.002260
13.000000,297.000000,0.002180
13.000000,315.000000,0.002150
13.000000,333.000000,0.002380
13.000000,351.000000,0.002120
15.000000,9.000000,0.002200
15.000000,27.000000,0.002070
15.000000,45.000000,0.002070
15.000000,63.000000,0.002050
15.000000,81.000000,0.002530
15.000000,99.000000,0.002420
15.000000,117.000000,0.002060
15.000000,135.000000,0.002170
15.000000,153.000000,0.002240
15.000000,171.000000,0.002010
15.000000,189.000000,0.002280
15.000000,207.000000,0.002310
15.000000,225.000000,0.001970
15.000000,243.000000,0.002160
15.000000,261.000000,0.002190
15.000000,279.000000,0.002470
15.000000,297.000000,0.002170
15.000000,315.000000,0.002310
15.000000,333.000000,0.002300
15.000000,351.000000,0.002410
17.000000,9.000000,0.002270
17.000000,27.000000,0.001970
17.000000,45.000000,0.002100
17.000000,63.000000,0.001960
17.000000,81.000000,0.002130
17.000000,99.000000,0.002030
17.000000,117.000000,0.002150
17.000000,135.000000,0.002170
17.000000,153.000000,0.002010
17.000000,171.000000,0.002320
17.000000,189.000000,0.002170
17.000000,207.000000,0.002100
17.000000,225.000000,0.002090
17.000000,243.000000,0.002370
17.000000,261.000000,0.002070
17.000000,279.000000,0.002340
17.000000,297.000000,0.002230
17.000000,315.000000,0.002110
17.000000,333.000000,0.001860
17.000000,351.000000,0.001980
19.000000,9.000000,0.002250
19.000000,27.000000,0.002100
19.000000,45.000000,0.002230
19.000000,63.000000,0.002020
19.000000,81.000000,0.002130
19.000000,99.000000,0.002370
19.000000,117.000000,0.002100
19.000000,135.000000,0.002400
19.000000,153.000000,0.002200
19.000000,171.000000,0.002220
19.000000,189.000000,0.002250
19.000000,207.000000,0.001960
19.000000,225.000000,0.002030
19.000000,243.000000,0.002100
19.000000,261.000000,0.002260
19.000000,279.000000,0.002280
19.000000,297.000000,0.002010
19.000000,315.000000,0.002200
19.000000,333.000000,0.002060
19.000000,351.000000,0.001960
21.000000,9.000000,0.002070
21.000000,27.000000,0.001800
21.000000,45.000000,0.001880
21.000000,63.000000,0.001970
21.000000,81.000000,0.002190
21.000000,99.000000,0.001860
21.000000,117.000000,0.001970
21.000000,135.000000,0.001920
21.000000,153.000000,0.001900
21.000000,171.000000,0.001940
21.000000,189.000000,0.001900
21.000000,207.000000,0.001930
21.000000,225.000000,0.002040
21.000000,243.000000,0.001930
21.000000,261.000000,0.002050
21.000000,279.000000,0.002140
21.000000,297.000000,0.002100
21.000000,315.000000,0.001910
21.000000,333.000000,0.002170
21.000000,351.000000,0.002030
23.000000,9.000000,0.001790
23.000000,27.000000,0.001710
23.000000,45.000000,0.001960
23.000000,63.000000,0.001940
23.000000,81.000000,0.001900
23.000000,99.000000,0.001860
23.000000,117.000000,0.001990
23.000000,135.000000,0.001970
23.000000,153.000000,0.001700
23.000000,171.000000,0.002090
23.000000,189.000000,0.001860
23.000000,207.000000,0.002120
23.000000,225.000000,0.001770
23.000000,243.000000,0.001900
23.000000,261.000000,0.001910
23.000000,279.000000,0.001780
23.000000,297.000000,0.001820
23.000000,315.000000,0.001600
23.000000,333.000000,0.002010
23.000000,351.000000,0.001870
25.000000,9.000000,0.001860
25.000000,27.000000,0.001870
25.000000,45.000000,0.001780
25.000000,63.000000,0.001780
25.000000,81.000000,0.002030
25.000000,99.000000,0.001830
25.000000,117.000000,0.001760
25.000000,135.000000,0.001700
25.000000,153.000000,0.001950
25.000000,171.000000,0.001740
25.000000,189.000000,0.001750
25.000000,207.000000,0.001850
25.000000,225.000000,0.001810
25.000000,243.000000,0.001800
25.000000,261.000000,0.001870
25.000000,279.000000,0.001710
25.000000,297.000000,0.001520
25.000000,315.000000,0.001980
25.000000,333.000000,0.001860
25.000000,351.000000,0.001910
27.000000,9.000000,0.001780
27.000000,27.000000,0.001790
27.000000,45.000000,0.001570
27.000000,63.000000,0.001880
27.000000,81.000000,0.001580
27.000000,99.000000,0.001910
27.000000,117.000000,0.001690
27.000000,135.000000,0.001810
27.000000,153.000000,0.001900
27.000000,171.000000,0.001920
27.000000,189.000000,0.001700
27.000000,207.000000,0.001900
27.000000,225.000000,0.001730
27.000000,243.000000,0.001920
27.000000,261.000000,0.001770
27.000000,279.000000,0.001990
27.000000,297.000000,0.001870
27.000000,315.000000,0.001550
27.000000,333.000000,0.001810
27.000000,351.000000,0.001680
29.000000,9.000000,0.001780
29.000000,27.000000,0.001460
29.000000,45.000000,0.001710
29.000000,63.000000,0.001580
29.000000,81.000000,0.001450
29.000000,99.000000,0.001590
29.000000,117.000000,0.001790
29.000000,135.000000,0.001560
29.000000,153.000000,0.001690
29.000000,171.000000,0.001850
29.000000,189.000000,0.001690
29.000000,207.000000,0.001770
29.000000,225.000000,0.001620
29.000000,243.000000,0.001700
29.000000,261.000000,0.001800
29.000000,279.000000,0.001630
29.000000,297.000000,0.001710
29.000000,315.000000,0.001440
29.000000,333.000000,0.001620
29.000000,351.000000,0.001540
31.000000,9.000000,0.001460
31.000000,27.000000,0.001560
31.000000,45.000000,0.001460
31.000000,63.000000,0.001450
31.000000,81.000000,0.001780
31.000000,99.000000,0.001580
31.000000,117.000000,0.001470
31.000000,135.000000,0.001660
31.000000,153.000000,0.001720
31.000000,171.000000,0.001670
31.000000,189.000000,0.001340
31.000000,207.000000,0.001520
31.000000,225.000000,0.001420
31.000000,243.000000,0.001550
31.000000,261.000000,0.001480
31.000000,279.000000,0.001810
31.000000,297.000000,0.001420
31.000000,315.000000,0.001540
31.000000,333.000000,0.001570
31.000000,351.000000,0.001380
33.000000,9.000000,0.001290
33.000000,27.000000,0.001510
33.000000,45.000000,0.001580
33.000000,63.000000,0.001560
33.000000,81.000000,0.001060
33.000000,99.000000,0.001620
33.000000,117.000000,0.001510
33.000000,135.000000,0.001440
33.000000,153.000000,0.001490
33.000000,171.000000,0.001470
33.000000,189.000000,0.001590
33.000000,207.000000,0.001370
33.000000,225.000000,0.001430
33.000000,243.000000,0.001420
33.000000,261.000000,0.001600
33.000000,279.000000,0.001440
33.000000,297.000000,0.001590
33.000000,315.000000,0.001430
33.000000,333.000000,0.001450
33.000000,351.000000,0.001490
35.000000,9.000000,0.001460
35.000000,27.000000,0.001390
35.000000,45.000000,0.001480
35.000000,63.000000,0.001280
35.000000,81.000000,0.001030
35.000000,99.000000,0.001260
35.000000,117.000000,0.001600
35.000000,135.000000,0.001320
35.000000,153.000000,0.001570
35.000000,171.000000,0.001350
35.000000,189.000000,0.001390
35.000000,207.000000,0.001370
35.000000,225.000000,0.001370
35.000000,243.000000,0.001450
35.000000,261.000000,0.001350
35.000000,279.000000,0.001440
35.000000,297.000000,0.001480
35.000000,315.000000,0.001390
35.000000,333.000000,0.001570
35.000000,351.000000,0.001290
37.000000,9.000000,0.001210
37.000000,27.000000,0.001270
37.000000,45.000000,0.001380
37.000000,63.000000,0.001310
37.000000,81.000000,0.001360
37.000000,99.000000,0.001430
37.000000,117.000000,0.001340
37.000000,135.000000,0.001470
37.000000,153.000000,0.001360
37.000000,171.000000,0.001160
37.000000,189.000000,0.001180
37.000000,207.000000,0.001570
37.000000,225.000000,0.001310
37.000000,243.000000,0.001480
37.000000,261.000000,0.001330
37.000000,279.000000,0.001470
37.000000,297.000000,0.001300
37.000000,315.000000,0.001100
37.000000,333.000000,0.001320
37.000000,351.000000,0.001250
39.000000,9.000000,0.001130
39.000000,27.000000,0.001210
39.000000,45.000000,0.001150
39.000000,63.000000,0.001150
39.000000,81.000000,0.001230
39.000000,99.000000,0.001230
39.000000,117.000000,0.001160
39.000000,135.000000,0.001160
39.000000,153.000000,0.001260
39.000000,171.000000,0.001340
39.000000,189.000000,0.001110
39.000000,207.000000,0.001050
39.000000,225.000000,0.001310
39.000000,243.000000,0.001200
39.000000,261.000000,0.001150
39.000000,279.000000,0.001170
39.000000,297.000000,0.001150
39.000000,315.000000,0.001270
39.000000,333.000000,0.000990
39.000000,351.000000,0.001310
41.000000,9.000000,0.001260
41.000000,27.000000,0.000920
41.000000,45.000000,0.001240
41.000000,63.000000,0.000930
41.000000,81.000000,0.000970
41.000000,99.000000,0.001080
41.000000,117.000000,0.000860
41.000000,135.000000,0.001030
41.000000,153.000000,0.001170
41.000000,171.000000,0.001060
41.000000,189.000000,0.001080
41.000000,207.000000,0.000970
41.000000,225.000000,0.000990
41.000000,243.000000,0.001000
41.000000,261.000000,0.001070
41.000000,279.000000,0.001080
41.000000,297.000000,0.001190
41.000000,315.000000,0.001070
41.000000,333.000000,0.001200
41.000000,351.000000,0.001170
43.000000,9.000000,0.001060
43.000000,27.000000,0.000970
43.000000,45.000000,0.001070
43.000000,63.000000,0.001050
43.000000,81.000000,0.000870
43.000000,99.000000,0.000890
43.000000,117.000000,0.001010
43.000000,135.000000,0.000870
43.000000,153.000000,0.000910
43.000000,171.000000,0.000930
43.000000,189.000000,0.001050
43.000000,207.000000,0.000900
43.000000,225.000000,0.001130
43.000000,243.000000,0.001080
43.000000,261.000000,0.001060
43.000000,279.000000,0.000800
43.000000,297.000000,0.000850
43.000000,315.000000,0.000950
43.000000,333.000000,0.000940
43.000000,351.000000,0.000960
45.000000,9.000000,0.000990
45.000000,27.000000,0.000750
45.000000,45.000000,0.001030
45.000000,63.000000,0.000840
45.000000,81.000000,0.000920
45.000000,99.000000,0.000860
45.000000,117.000000,0.000910
45.000000,135.000000,0.000980
45.000000,153.000000,0.001000
45.000000,171.000000,0.000950
45.000000,189.000000,0.000980
45.000000,207.000000,0.000750
45.000000,225.000000,0.000780
45.000000,243.000000,0.000910
45.000000,261.000000,0.000960
45.000000,279.000000,0.001040
45.000000,297.000000,0.000870
45.000000,315.000000,0.001120
45.000000,333.000000,0.000980
45.000000,351.000000,0.000920
47.000000,9.000000,0.000710
47.000000,27.000000,0.000800
47.000000,45.000000,0.000640
47.000000,63.000000,0.000840
47.000000,81.000000,0.000840
47.000000,99.000000,0.000780
47.000000,117.000000,0.000730
47.000000,135.000000,0.000880
47.000000,153.000000,0.000810
47.000000,171.000000,0.000850
47.000000,189.000000,0.000640
47.000000,207.000000,0.000840
47.000000,225.000000,0.000850
47.000000,243.000000,0.000810
47.000000,261.000000,0.000880
47.000000,279.000000,0.000740
47.000000,297.000000,0.000820
47.000000,315.000000,0.000820
47.000000,333.000000,0.000820
47.000000,351.000000,0.000780
49.000000,9.000000,0.000670
49.000000,27.000000,0.000680
49.000000,45.000000,0.000840
49.000000,63.000000,0.000760
49.000000,81.000000,0.000650
49.000000,99.000000,0.000750
49.000000,117.000000,0.000850
49.000000,135.000000,0.000820
49.000000,153.000000,0.000640
49.000000,171.000000,0.000680
49.000000,189.000000,0.000830
49.000000,207.000000,0.000780
49.000000,225.000000,0.000940
49.000000,243.000000,0.000630
49.000000,261.000000,0.000670
49.000000,279.000000,0.000750
49.000000,297.000000,0.000830
49.000000,315.000000,0.000770
49.000000,333.000000,0.000650
49.000000,351.000000,0.000640
51.000000,9.000000,0.000680
51.000000,27.000000,0.000520
51.000000,45.000000,0.000720
51.000000,63.000000,0.000610
51.000000,81.000000,0.000530
51.000000,99.000000,0.000710
51.000000,117.000000,0.000700
51.000000,135.000000,0.000610
51.000000,153.000000,0.000610
51.000000,171.000000,0.000660
51.000000,189.000000,0.000650
51.000000,207.000000,0.000720
51.000000,225.000000,0.000660
51.000000,243.000000,0.000820
51.000000,261.000000,0.000630
51.000000,279.000000,0.000830
51.000000,297.000000,0.000590
51.000000,315.000000,0.000610
51.000000,333.000000,0.000590
51.000000,351.000000,0.000730
53.000000,9.000000,0.000550
53.000000,27.000000,0.000540
53.000000,45.000000,0.000560
53.000000,63.000000,0.000600
53.000000,81.000000,0.000740
53.000000,99.000000,0.000530
53.000000,117.000000,0.000380
53.000000,135.000000,0.000600
53.000000,153.000000,0.000590
53.000000,171.000000,0.000540
53.000000,189.000000,0.000550
53.000000,207.000000,0.000570
53.000000,225.000000,0.000650
53.000000,243.000000,0.000560
53.000000,261.000000,0.000510
53.000000,279.000000,0.000480
53.000000,297.000000,0.000520
53.000000,315.000000,0.000530
53.000000,333.000000,0.000490
53.000000,351.000000,0.000570
55.000000,9.000000,0.000530
55.000000,27.000000,0.000460
55.000000,45.000000,0.000440
55.000000,63.000000,0.000500
55.000000,81.000000,0.000450
55.000000,99.000000,0.000450
55.000000,117.000000,0.000450
55.000000,135.000000,0.000330
55.000000,153.000000,0.000440
55.000000,171.000000,0.000520
55.000000,189.000000,0.000520
55.000000,207.000000,0.000500
55.000000,225.000000,0.000410
55.000000,243.000000,0.000540
55.000000,261.000000,0.000590
