theta,phi,fraction
1.800000,36.000000,0.001200
1.800000,108.000000,0.001000
1.800000,180.000000,0.000800
1.800000,252.000000,0.001600
1.800000,324.000000,0.001000
5.400000,36.000000,0.000900
5.400000,108.000000,0.000500
5.400000,180.000000,0.001100
5.400000,252.000000,0.001200
5.400000,324.000000,0.001500
9.000000,36.000000,0.001400
9.000000,108.000000,0.000800
9.000000,180.000000,0.001700
9.000000,252.000000,0.001100
9.000000,324.000000,0.001100
12.600000,36.000000,0.000400
12.600000,108.000000,0.000900
12.600000,180.000000,0.001000
12.600000,252.000000,0.001000
12.600000,324.000000,0.000700
16.200000,36.000000,0.000600
16.200000,108.000000,0.000800
16.200000,180.000000,0.000900
16.200000,252.000000,0.000900
16.200000,324.000000,0.000900
19.800000,36.000000,0.000900
19.800000,108.000000,0.001000
19.800000,180.000000,0.000900
19.800000,252.000000,0.000800
19.800000,324.000000,0.001100
23.400000,36.000000,0.000900
23.400000,108.000000,0.000800
23.400000,180.000000,0.000700
23.400000,252.000000,0.000400
23.400000,324.000000,0.000800
27.000000,36.000000,0.000700
27.000000,108.000000,0.000700
27.000000,180.000000,0.000700
27.000000,252.000000,0.001300
27.000000,324.000000,0.000600
30.600000,36.000000,0.001000
30.600000,108.000000,0.001000
30.600000,180.000000,0.000800
30.600000,252.000000,0.000600
30.600000,324.000000,0.000800
34.200000,36.000000,0.001000
34.200000,108.000000,0.000600
34.200000,180.000000,0.000500
34.200000,252.000000,0.000700
34.200000,324.000000,0.000800
37.800000,36.000000,0.000800
37.800000,108.000000,0.000800
37.800000,180.000000,0.000200
37.800000,252.000000,0.000700
37.800000,324.000000,0.000700
41.400000,36.000000,0.000300
41.400000,108.000000,0.000200
41.400000,180.000000,0.000200
41.400000,252.000000,0.000500
41.400000,324.000000,0.000300
45.000000,36.000000,0.000200
45.000000,108.000000,0.000600
45.000000,180.000000,0.000400
45.000000,252.000000,0.000300
45.000000,324.000000,0.000100
48.600000,36.000000,0.000300
48.600000,108.000000,0.000300
48.600000,180.000000,0.000500
48.600000,252.000000,0.000300
48.600000,324.000000,0.000300
52.200000,36.000000,0.000100
52.200000,108.000000,0.000000
52.200000,180.000000,0.000400
52.200000,252.000000,0.000200
52.200000,324.000000,0.000100
55.800000,36.000000,0.000100
55.800000,108.000000,0.000000
55.800000,180.000000,0.000100
55.800000,252.000000,0.000000
55.800000,324.000000,0.000100
59.400000,36.000000,0.000000
59.400000,108.000000,0.000200
59.400000,180.000000,0.000100
59.400000,252.000000,0.000200
59.400000,324.000000,0.000100
63.000000,36.000000,0.000100
63.000000,108.000000,0.000100
63.000000,180.000000,0.000300
63.000000,252.000000,0.000200
63.000000,324.000000,0.000000
66.600000,36.000000,0.000100
66.600000,108.000000,0.000100
66.600000,180.000000,0.000400
66.600000,252.000000,0.000000
66.600000,324.000000,0.000300
70.200000,36.000000,0.000100
70.200000,108.000000,0.000000
70.200000,180.000000,0.000600
70.200000,252.000000,0.000200
70.200000,324.000000,0.000000
73.800000,36.000000,0.000100
73.800000,108.000000,0.000000
73.800000,180.000000,0.000600
73.800000,252.000000,0.000300
73.800000,324.000000,0.000000
77.400000,36.000000,0.000000
77.400000,108.000000,0.000000
77.400000,180.000000,0.000500
77.400000,252.000000,0.000100
77.400000,324.000000,0.000100
81.000000,36.000000,0.000000
81.000000,108.000000,0.000000
81.000000,180.000000,0.000000
81.000000,252.000000,0.000000
81.000000,324.000000,0.000100
84.600000,36.000000,0.000000
84.600000,108.000000,0.000000
84.600000,180.000000,0.000000
84.600000,252.000000,0.000000
84.600000,324.000000,0.000000
88.200000,36.000000,0.000000
88.200000,108.000000,0.000000
88.200000,180.000000,0.000000
88.200000,252.000000,0.000000
88.200000,324.000000,0.000000
