# Detector Data - Generated: 2025-03-25 10:14:56
# Number of rays: 50000
# Detector dimensions: 20cm x 20cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 170 degrees
# Theta bins: 45
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.75
# Lambertian scattering: enabled
theta,phi,fraction
1.000000,2.000000,0.001260
1.000000,6.000000,0.001160
1.000000,10.000000,0.001200
1.000000,14.000000,0.001060
1.000000,18.000000,0.000980
1.000000,22.000000,0.001400
1.000000,26.000000,0.000920
1.000000,30.000000,0.001320
1.000000,34.000000,0.000920
1.000000,38.000000,0.001160
1.000000,42.000000,0.000820
1.000000,46.000000,0.001020
1.000000,50.000000,0.001040
1.000000,54.000000,0.000980
1.000000,58.000000,0.000780
1.000000,62.000000,0.001140
1.000000,66.000000,0.000940
1.000000,70.000000,0.001020
1.000000,74.000000,0.000820
1.000000,78.000000,0.000960
1.000000,82.000000,0.000960
1.000000,86.000000,0.001020
1.000000,90.000000,0.000940
1.000000,94.000000,0.001060
1.000000,98.000000,0.001200
1.000000,102.000000,0.001180
1.000000,106.000000,0.001180
1.000000,110.000000,0.001160
1.000000,114.000000,0.001020
1.000000,118.000000,0.000800
1.000000,122.000000,0.000900
1.000000,126.000000,0.001200
1.000000,130.000000,0.001100
1.000000,134.000000,0.000920
1.000000,138.000000,0.001080
1.000000,142.000000,0.000980
1.000000,146.000000,0.000980
1.000000,150.000000,0.000880
1.000000,154.000000,0.001160
1.000000,158.000000,0.001340
1.000000,162.000000,0.001080
1.000000,166.000000,0.001160
1.000000,170.000000,0.000880
1.000000,174.000000,0.001040
1.000000,178.000000,0.000860
1.000000,182.000000,0.001040
1.000000,186.000000,0.000960
1.000000,190.000000,0.000900
1.000000,194.000000,0.001060
1.000000,198.000000,0.001040
1.000000,202.000000,0.000960
1.000000,206.000000,0.000920
1.000000,210.000000,0.001180
1.000000,214.000000,0.001120
1.000000,218.000000,0.001400
1.000000,222.000000,0.001120
1.000000,226.000000,0.001160
1.000000,230.000000,0.000660
1.000000,234.000000,0.001060
1.000000,238.000000,0.001060
1.000000,242.000000,0.001100
1.000000,246.000000,0.001100
1.000000,250.000000,0.001020
1.000000,254.000000,0.001200
1.000000,258.000000,0.001160
1.000000,262.000000,0.001040
1.000000,266.000000,0.000920
1.000000,270.000000,0.001000
1.000000,274.000000,0.000920
1.000000,278.000000,0.000960
1.000000,282.000000,0.001020
1.000000,286.000000,0.000820
1.000000,290.000000,0.001160
1.000000,294.000000,0.001080
1.000000,298.000000,0.000800
1.000000,302.000000,0.001160
1.000000,306.000000,0.000860
1.000000,310.000000,0.000960
1.000000,314.000000,0.001040
1.000000,318.000000,0.000840
1.000000,322.000000,0.001240
1.000000,326.000000,0.001200
1.000000,330.000000,0.001060
1.000000,334.000000,0.001100
1.000000,338.000000,0.001000
1.000000,342.000000,0.001300
1.000000,346.000000,0.001020
1.000000,350.000000,0.000980
1.000000,354.000000,0.001160
1.000000,358.000000,0.001320
3.000000,2.000000,0.001160
3.000000,6.000000,0.000880
3.000000,10.000000,0.000920
3.000000,14.000000,0.001000
3.000000,18.000000,0.001060
3.000000,22.000000,0.001080
3.000000,26.000000,0.000900
3.000000,30.000000,0.001200
3.000000,34.000000,0.001040
3.000000,38.000000,0.000880
3.000000,42.000000,0.001000
3.000000,46.000000,0.001080
3.000000,50.000000,0.000700
3.000000,54.000000,0.000960
3.000000,58.000000,0.000900
3.000000,62.000000,0.001180
3.000000,66.000000,0.000860
3.000000,70.000000,0.001040
3.000000,74.000000,0.001060
3.000000,78.000000,0.001040
3.000000,82.000000,0.001000
3.000000,86.000000,0.001040
3.000000,90.000000,0.001100
3.000000,94.000000,0.000800
3.000000,98.000000,0.001040
3.000000,102.000000,0.001080
3.000000,106.000000,0.000860
3.000000,110.000000,0.001080
3.000000,114.000000,0.001160
3.000000,118.000000,0.000860
3.000000,122.000000,0.000700
3.000000,126.000000,0.000880
3.000000,130.000000,0.001120
3.000000,134.000000,0.000860
3.000000,138.000000,0.000940
3.000000,142.000000,0.001280
3.000000,146.000000,0.001040
3.000000,150.000000,0.000860
3.000000,154.000000,0.001060
3.000000,158.000000,0.001180
3.000000,162.000000,0.001120
3.000000,166.000000,0.001100
3.000000,170.000000,0.001080
3.000000,174.000000,0.001100
3.000000,178.000000,0.001040
3.000000,182.000000,0.001040
3.000000,186.000000,0.000940
3.000000,190.000000,0.000780
3.000000,194.000000,0.000680
3.000000,198.000000,0.001200
3.000000,202.000000,0.000880
3.000000,206.000000,0.000820
3.000000,210.000000,0.001000
3.000000,214.000000,0.001320
3.000000,218.000000,0.000860
3.000000,222.000000,0.000960
3.000000,226.000000,0.000860
3.000000,230.000000,0.000980
3.000000,234.000000,0.000860
3.000000,238.000000,0.000920
3.000000,242.000000,0.000760
3.000000,246.000000,0.001180
3.000000,250.000000,0.001200
3.000000,254.000000,0.000760
3.000000,258.000000,0.001160
3.000000,262.000000,0.001140
3.000000,266.000000,0.001100
3.000000,270.000000,0.000780
3.000000,274.000000,0.001220
3.000000,278.000000,0.001200
3.000000,282.000000,0.000780
3.000000,286.000000,0.001060
3.000000,290.000000,0.001280
3.000000,294.000000,0.001000
3.000000,298.000000,0.001240
3.000000,302.000000,0.001240
3.000000,306.000000,0.000860
3.000000,310.000000,0.001120
3.000000,314.000000,0.001040
3.000000,318.000000,0.000900
3.000000,322.000000,0.001100
3.000000,326.000000,0.000860
3.000000,330.000000,0.000940
3.000000,334.000000,0.000980
3.000000,338.000000,0.001220
3.000000,342.000000,0.001140
3.000000,346.000000,0.001140
3.000000,350.000000,0.000800
3.000000,354.000000,0.000880
3.000000,358.000000,0.000940
5.000000,2.000000,0.001200
5.000000,6.000000,0.000860
5.000000,10.000000,0.001120
5.000000,14.000000,0.001040
5.000000,18.000000,0.001060
5.000000,22.000000,0.000760
5.000000,26.000000,0.000800
5.000000,30.000000,0.001120
5.000000,34.000000,0.001020
5.000000,38.000000,0.000800
5.000000,42.000000,0.000800
5.000000,46.000000,0.000920
5.000000,50.000000,0.000940
5.000000,54.000000,0.001120
5.000000,58.000000,0.000980
