# Flux Map Data - Generated: 2025-04-01 01:41:25
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 170 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -80cm
# Source direction (x,y,z): 5, 2, 0
# Max reflections: 50000
theta,phi,fraction
0.250000,2.000000,0.015420
0.250000,6.000000,0.015120
0.250000,10.000000,0.015920
0.250000,14.000000,0.014980
0.250000,18.000000,0.015560
0.250000,22.000000,0.015500
0.250000,26.000000,0.015360
0.250000,30.000000,0.015800
0.250000,34.000000,0.015160
0.250000,38.000000,0.015380
0.250000,42.000000,0.015480
0.250000,46.000000,0.016020
0.250000,50.000000,0.015380
0.250000,54.000000,0.016160
0.250000,58.000000,0.015000
0.250000,62.000000,0.015820
0.250000,66.000000,0.015920
0.250000,70.000000,0.015160
0.250000,74.000000,0.015520
0.250000,78.000000,0.015740
0.250000,82.000000,0.016440
0.250000,86.000000,0.015520
0.250000,90.000000,0.015660
0.250000,94.000000,0.014500
0.250000,98.000000,0.015840
