# Flux Map Data - Generated: 2025-03-30 11:07:05
# Number of rays per position: 1000
# Detector dimensions: 10cm x 10cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 170 degrees
# Theta bins: 15
# Phi bins: 20
theta,phi,fraction
3.000000,9.000000,0.001000
3.000000,27.000000,0.002000
3.000000,45.000000,0.002000
3.000000,63.000000,0.005000
3.000000,81.000000,0.002000
3.000000,99.000000,0.001000
3.000000,117.000000,0.002000
3.000000,135.000000,0.000000
3.000000,153.000000,0.004000
3.000000,171.000000,0.002000
3.000000,189.000000,0.002000
3.000000,207.000000,0.001000
3.000000,225.000000,0.003000
3.000000,243.000000,0.006000
3.000000,261.000000,0.001000
3.000000,279.000000,0.001000
3.000000,297.000000,0.001000
3.000000,315.000000,0.001000
3.000000,333.000000,0.007000
3.000000,351.000000,0.001000
9.000000,9.000000,0.002000
9.000000,27.000000,0.005000
9.000000,45.000000,0.002000
9.000000,63.000000,0.003000
9.000000,81.000000,0.003000
9.000000,99.000000,0.002000
9.000000,117.000000,0.001000
9.000000,135.000000,0.001000
9.000000,153.000000,0.001000
9.000000,171.000000,0.002000
9.000000,189.000000,0.002000
9.000000,207.000000,0.000000
9.000000,225.000000,0.003000
9.000000,243.000000,0.001000
9.000000,261.000000,0.005000
9.000000,279.000000,0.004000
9.000000,297.000000,0.002000
9.000000,315.000000,0.004000
9.000000,333.000000,0.002000
9.000000,351.000000,0.001000
15.000000,9.000000,0.006000
15.000000,27.000000,0.004000
15.000000,45.000000,0.001000
15.000000,63.000000,0.003000
15.000000,81.000000,0.001000
15.000000,99.000000,0.000000
15.000000,117.000000,0.003000
15.000000,135.000000,0.002000
15.000000,153.000000,0.004000
15.000000,171.000000,0.000000
15.000000,189.000000,0.003000
15.000000,207.000000,0.003000
15.000000,225.000000,0.004000
15.000000,243.000000,0.004000
15.000000,261.000000,0.002000
15.000000,279.000000,0.006000
15.000000,297.000000,0.001000
15.000000,315.000000,0.002000
15.000000,333.000000,0.004000
15.000000,351.000000,0.003000
21.000000,9.000000,0.004000
21.000000,27.000000,0.001000
21.000000,45.000000,0.002000
21.000000,63.000000,0.001000
21.000000,81.000000,0.002000
21.000000,99.000000,0.001000
21.000000,117.000000,0.001000
21.000000,135.000000,0.004000
21.000000,153.000000,0.001000
21.000000,171.000000,0.000000
21.000000,189.000000,0.001000
21.000000,207.000000,0.002000
21.000000,225.000000,0.002000
21.000000,243.000000,0.001000
21.000000,261.000000,0.003000
21.000000,279.000000,0.003000
21.000000,297.000000,0.001000
21.000000,315.000000,0.001000
21.000000,333.000000,0.004000
21.000000,351.000000,0.003000
27.000000,9.000000,0.000000
27.000000,27.000000,0.002000
27.000000,45.000000,0.000000
27.000000,63.000000,0.001000
27.000000,81.000000,0.005000
27.000000,99.000000,0.006000
27.000000,117.000000,0.001000
27.000000,135.000000,0.000000
27.000000,153.000000,0.001000
27.000000,171.000000,0.001000
27.000000,189.000000,0.000000
27.000000,207.000000,0.002000
27.000000,225.000000,0.001000
27.000000,243.000000,0.001000
27.000000,261.000000,0.002000
27.000000,279.000000,0.001000
27.000000,297.000000,0.000000
27.000000,315.000000,0.002000
27.000000,333.000000,0.000000
27.000000,351.000000,0.000000
33.000000,9.000000,0.002000
33.000000,27.000000,0.001000
33.000000,45.000000,0.001000
33.000000,63.000000,0.002000
33.000000,81.000000,0.002000
33.000000,99.000000,0.002000
33.000000,117.000000,0.001000
33.000000,135.000000,0.001000
33.000000,153.000000,0.000000
33.000000,171.000000,0.004000
33.000000,189.000000,0.002000
33.000000,207.000000,0.002000
33.000000,225.000000,0.001000
33.000000,243.000000,0.001000
33.000000,261.000000,0.000000
33.000000,279.000000,0.001000
33.000000,297.000000,0.000000
33.000000,315.000000,0.003000
33.000000,333.000000,0.002000
33.000000,351.000000,0.002000
39.000000,9.000000,0.000000
39.000000,27.000000,0.002000
39.000000,45.000000,0.001000
39.000000,63.000000,0.001000
39.000000,81.000000,0.001000
39.000000,99.000000,0.000000
39.000000,117.000000,0.001000
39.000000,135.000000,0.002000
39.000000,153.000000,0.001000
39.000000,171.000000,0.001000
39.000000,189.000000,0.001000
39.000000,207.000000,0.001000
39.000000,225.000000,0.001000
39.000000,243.000000,0.000000
39.000000,261.000000,0.002000
39.000000,279.000000,0.002000
39.000000,297.000000,0.003000
39.000000,315.000000,0.001000
39.000000,333.000000,0.002000
39.000000,351.000000,0.001000
45.000000,9.000000,0.000000
45.000000,27.000000,0.002000
45.000000,45.000000,0.000000
45.000000,63.000000,0.001000
45.000000,81.000000,0.000000
45.000000,99.000000,0.000000
45.000000,117.000000,0.001000
45.000000,135.000000,0.000000
45.000000,153.000000,0.001000
45.000000,171.000000,0.001000
45.000000,189.000000,0.001000
45.000000,207.000000,0.001000
45.000000,225.000000,0.001000
45.000000,243.000000,0.001000
45.000000,261.000000,0.002000
45.000000,279.000000,0.000000
45.000000,297.000000,0.001000
45.000000,315.000000,0.001000
45.000000,333.000000,0.002000
45.000000,351.000000,0.002000
51.000000,9.000000,0.001000
51.000000,27.000000,0.001000
51.000000,45.000000,0.000000
51.000000,63.000000,0.000000
51.000000,81.000000,0.000000
51.000000,99.000000,0.002000
51.000000,117.000000,0.001000
51.000000,135.000000,0.000000
51.000000,153.000000,0.000000
51.000000,171.000000,0.001000
51.000000,189.000000,0.000000
51.000000,207.000000,0.001000
51.000000,225.000000,0.000000
51.000000,243.000000,0.001000
51.000000,261.000000,0.001000
51.000000,279.000000,0.000000
51.000000,297.000000,0.000000
51.000000,315.000000,0.000000
51.000000,333.000000,0.002000
51.000000,351.000000,0.002000
57.000000,9.000000,0.002000
57.000000,27.000000,0.000000
57.000000,45.000000,0.000000
57.000000,63.000000,0.000000
57.000000,81.000000,0.000000
57.000000,99.000000,0.000000
57.000000,117.000000,0.000000
57.000000,135.000000,0.000000
57.000000,153.000000,0.000000
57.000000,171.000000,0.000000
57.000000,189.000000,0.000000
57.000000,207.000000,0.000000
57.000000,225.000000,0.000000
57.000000,243.000000,0.000000
57.000000,261.000000,0.000000
57.000000,279.000000,0.000000
57.000000,297.000000,0.000000
57.000000,315.000000,0.000000
57.000000,333.000000,0.000000
57.000000,351.000000,0.000000
63.000000,9.000000,0.001000
63.000000,27.000000,0.000000
63.000000,45.000000,0.001000
63.000000,63.000000,0.000000
63.000000,81.000000,0.000000
63.000000,99.000000,0.000000
63.000000,117.000000,0.001000
63.000000,135.000000,0.000000
63.000000,153.000000,0.000000
63.000000,171.000000,0.000000
63.000000,189.000000,0.000000
63.000000,207.000000,0.001000
63.000000,225.000000,0.001000
63.000000,243.000000,0.000000
63.000000,261.000000,0.002000
63.000000,279.000000,0.001000
63.000000,297.000000,0.001000
63.000000,315.000000,0.000000
63.000000,333.000000,0.000000
63.000000,351.000000,0.001000
